"C","S","n","alpha"
0,7.23061054848008e-14,805,53
0,0.,805,53
0,-8.169547375234718e-14,805,53
0,0.,805,53
0,9.227707205133563e-14,805,53
0,0.,805,53
0,-1.0419872730486794e-13,805,53
0,0.,805,53
0,1.1762613699209804e-13,805,53
0,0.,805,53
0,-1.3274497160752833e-13,805,53
0,0.,805,53
0,1.4976321733535856e-13,805,53
0,0.,805,53
0,-1.6891378552521587e-13,805,53
0,0.,805,53
0,1.904574183972497e-13,805,53
0,0.,805,53
0,-2.1468592353844076e-13,805,53
0,0.,805,53
0,2.41925773206814e-13,805,53
0,0.,805,53
0,-2.7254210826752464e-13,805,53
0,0.,805,53
0,3.069431907789042e-13,805,53
0,0.,805,53
0,-3.4558535386508834e-13,805,53
0,0.,805,53
0,3.8897850259586484e-13,805,53
0,0.,805,53
0,-4.376922251886918e-13,805,53
0,0.,805,53
0,4.923625800013737e-13,805,53
0,0.,805,53
0,-5.536996305500081e-13,805,53
0,0.,805,53
0,6.22495808223721e-13,805,53
0,0.,805,53
0,-6.996351905388288e-13,805,53
0,0.,805,53
0,7.861037917495039e-13,805,53
0,0.,805,53
0,-8.830009724850357e-13,805,53
0,0.,805,53
0,9.915520858973032e-13,805,53
0,0.,805,53
0,-1.1131224896652422e-12,805,53
0,0.,805,53
0,1.2492330662128637e-12,805,53
0,0.,805,53
0,-1.4015774077591538e-12,805,53
0,0.,805,53
0,1.5720408384465038e-12,805,53
0,0.,805,53
0,-1.762721462913595e-12,805,53
0,0.,805,53
0,1.975953449423959e-12,805,53
0,0.,805,53
0,-2.2143327761793656e-12,805,53
0,0.,805,53
0,2.4807456918967193e-12,805,53
0,0.,805,53
0,-2.7784001662807547e-12,805,53
0,0.,805,53
0,3.1108606328692813e-12,805,53
0,0.,805,53
0,-3.4820863560655338e-12,805,53
0,0.,805,53
0,3.896473786222458e-12,805,53
0,0.,805,53
0,-4.358903301643761e-12,805,53
0,0.,805,53
0,4.874790774572874e-12,805,53
0,0.,805,53
0,-5.4501444399311494e-12,805,53
0,0.,805,53
0,6.091627591040509e-12,805,53
0,0.,805,53
0,-6.806627676147466e-12,805,53
0,0.,805,53
0,7.603332423604749e-12,805,53
0,0.,805,53
0,-8.490813682441338e-12,805,53
0,0.,805,53
0,9.479119729169007e-12,805,53
0,0.,805,53
0,-1.0579376861472587e-11,805,53
0,0.,805,53
0,1.1803901175385697e-11,805,53
0,0.,805,53
0,-1.3166321505173741e-11,805,53
0,0.,805,53
0,1.4681714594980383e-11,805,53
0,0.,805,53
0,-1.636675366893401e-11,805,53
0,0.,805,53
0,1.82398716724922e-11,805,53
0,0.,805,53
0,-2.0321440573008905e-11,805,53
0,0.,805,53
0,2.263396823257541e-11,805,53
0,0.,805,53
0,-2.520231450190096e-11,805,53
0,0.,805,53
0,2.8053928331210173e-11,805,53
0,0.,805,53
0,-3.121910785375009e-11,805,53
0,0.,805,53
0,3.473128557049569e-11,805,53
0,0.,805,53
0,-3.862734095206357e-11,805,53
0,0.,805,53
0,4.29479429768095e-11,805,53
0,0.,805,53
0,-4.7737925343795435e-11,805,53
0,0.,805,53
0,5.304669733704897e-11,805,53
0,0.,805,53
0,-5.892869357467669e-11,805,53
0,0.,805,53
0,6.54438661543994e-11,805,53
0,0.,805,53
0,-7.265822300752179e-11,805,53
0,0.,805,53
0,8.064441659790646e-11,805,53
0,0.,805,53
0,-8.948238745298215e-11,805,53
0,0.,805,53
0,9.926006739208482e-11,805,53
0,0.,805,53
0,-1.1007414772554674e-10,805,53
0,0.,805,53
0,1.2203091813807673e-10,805,53
0,0.,805,53
0,-1.3524718244442932e-10,805,53
0,0.,805,53
0,1.4985125791659765e-10,805,53
0,0.,805,53
0,-1.6598406543240243e-10,805,53
0,0.,805,53
0,1.8380031828817e-10,805,53
0,0.,805,53
0,-2.0346981815615173e-10,805,53
0,0.,805,53
0,2.2517886735357852e-10,805,53
0,0.,805,53
0,-2.491318073280967e-10,805,53
0,0.,805,53
0,2.7555269405733774e-10,805,53
0,0.,805,53
0,-3.046871219122801e-10,805,53
0,0.,805,53
0,3.368042084488397e-10,805,53
0,0.,805,53
0,-3.721987535739872e-10,805,53
0,0.,805,53
0,4.111935875860832e-10,805,53
0,0.,805,53
0,-4.54142123718762e-10,805,53
0,0.,805,53
0,5.014311320285484e-10,805,53
0,0.,805,53
0,-5.534837527637312e-10,805,53
0,0.,805,53
0,6.107627687413752e-10,805,53
0,0.,805,53
0,-6.737741577466024e-10,805,53
0,0.,805,53
0,7.43070947559563e-10,805,53
0,0.,805,53
0,-8.192573979173738e-10,805,53
0,0.,805,53
0,9.029935355375458e-10,805,53
0,0.,805,53
0,-9.950000702732691e-10,805,53
0,0.,805,53
0,1.0960637225469396e-9,805,53
0,0.,805,53
0,-1.207042994424438e-9,805,53
0,0.,805,53
0,1.3288744190572685e-9,805,53
0,0.,805,53
0,-1.462579325741482e-9,805,53
0,0.,805,53
0,1.6092711605305077e-9,805,53
0,0.,805,53
0,-1.770163405203241e-9,805,53
0,0.,805,53
0,1.9465781404390076e-9,805,53
0,0.,805,53
0,-2.13995530229788e-9,805,53
0,0.,805,53
0,2.3518626845592464e-9,805,53
0,0.,805,53
0,-2.5840067431449957e-9,805,53
0,0.,805,53
0,2.8382442627581435e-9,805,53
0,0.,805,53
0,-3.116594950015646e-9,805,53
0,0.,805,53
0,3.4212550217585595e-9,805,53
0,0.,805,53
0,-3.754611861896998e-9,805,53
0,0.,805,53
0,4.119259825105717e-9,805,53
0,0.,805,53
0,-4.5180172709429864e-9,805,53
0,0.,805,53
0,4.953944917536019e-9,805,53
0,0.,805,53
0,-5.4303656098760604e-9,805,53
0,0.,805,53
0,5.9508856040117356e-9,805,53
0,0.,805,53
0,-6.51941747503689e-9,805,53
0,0.,805,53
0,7.140204763756579e-9,805,53
0,0.,805,53
0,-7.817848484299606e-9,805,53
0,0.,805,53
0,8.557335622746672e-9,805,53
0,0.,805,53
0,-9.364069765078631e-9,805,53
0,0.,805,53
0,1.0243904001439117e-8,805,53
0,0.,805,53
0,-1.1203176262869602e-8,805,53
0,0.,805,53
0,1.2248747256333686e-8,805,53
0,0.,805,53
0,-1.3388041174021598e-8,805,53
0,0.,805,53
0,1.462908936363721e-8,805,53
0,0.,805,53
0,-1.5980577157640114e-8,805,53
0,0.,805,53
0,1.7451894071266565e-8,805,53
0,0.,805,53
0,-1.9053187591608348e-8,805,53
0,0.,805,53
0,2.0795420793110297e-8,805,53
0,0.,805,53
0,-2.2690434028579123e-8,805,53
0,0.,805,53
0,2.4751010959201422e-8,805,53
0,0.,805,53
0,-2.6990949202171134e-8,805,53
0,0.,805,53
0,2.9425135890350292e-8,805,53
0,0.,805,53
0,-3.2069628454955044e-8,805,53
0,0.,805,53
0,3.494174095959633e-8,805,53
0,0.,805,53
0,-3.806013633213445e-8,805,53
0,0.,805,53
0,4.144492485975297e-8,805,53
0,0.,805,53
0,-4.511776933244395e-8,805,53
0,0.,805,53
0,4.91019972407459e-8,805,53
0,0.,805,53
0,-5.342272045511087e-8,805,53
0,0.,805,53
0,5.8106962836720976e-8,805,53
0,0.,805,53
0,-6.318379625294783e-8,805,53
0,0.,805,53
0,6.86844854949718e-8,805,53
0,0.,805,53
0,-7.464264262037302e-8,805,53
0,0.,805,53
0,8.109439126978936e-8,805,53
0,0.,805,53
0,-8.807854153402827e-8,805,53
0,0.,805,53
0,9.563677597633388e-8,805,53
0,0.,805,53
0,-1.0381384744386461e-7,805,53
0,0.,805,53
0,1.1265778933284208e-7,805,53
0,0.,805,53
0,-1.2222013900330077e-7,805,53
0,0.,805,53
0,1.3255617507191075e-7,805,53
0,0.,805,53
0,-1.4372516934496711e-7,805,53
0,0.,805,53
0,1.5579065418834763e-7,805,53
0,0.,805,53
0,-1.6882070616703478e-7,805,53
0,0.,805,53
0,1.8288824682367862e-7,805,53
0,0.,805,53
0,-1.980713615036426e-7,805,53
0,0.,805,53
0,2.144536371730134e-7,805,53
0,0.,805,53
0,-2.3212452021616093e-7,805,53
0,0.,805,53
0,2.5117969524059336e-7,805,53
0,0.,805,53
0,-2.7172148595903764e-7,805,53
0,0.,805,53
0,2.938592792618776e-7,805,53
0,0.,805,53
0,-3.1770997363726154e-7,805,53
0,0.,805,53
0,3.433984531413231e-7,805,53
0,0.,805,53
0,-3.7105808816700265e-7,805,53
0,0.,805,53
0,4.008312643068703e-7,805,53
0,0.,805,53
0,-4.3286994065309e-7,805,53
0,0.,805,53
0,4.673362389261606e-7,805,53
0,0.,805,53
0,-5.044030648732833e-7,805,53
0,0.,805,53
0,5.442547634270473e-7,805,53
0,0.,805,53
0,-5.870878091655368e-7,805,53
0,0.,805,53
0,6.33111533665854e-7,805,53
0,0.,805,53
0,-6.825488913943364e-7,805,53
0,0.,805,53
0,7.356372658283298e-7,805,53
0,0.,805,53
0,-7.926293175561438e-7,805,53
0,0.,805,53
0,8.53793876153673e-7,805,53
0,0.,805,53
0,-9.194168776879614e-7,805,53
0,0.,805,53
0,9.898023497496227e-7,805,53
0,0.,805,53
0,-1.065273445967334e-6,805,53
0,0.,805,53
0,1.1461735320084693e-6,805,53
0,0.,805,53
0,-1.232867325120162e-6,805,53
0,0.,805,53
0,1.3257420893145025e-6,805,53
0,0.,805,53
0,-1.4252088883500423e-6,805,53
0,0.,805,53
0,1.53170389870906e-6,805,53
0,0.,805,53
0,-1.6456897848159724e-6,805,53
0,0.,805,53
0,1.7676571387866346e-6,805,53
0,0.,805,53
0,-1.898125987040834e-6,805,53
0,0.,805,53
0,2.037647366150825e-6,805,53
0,0.,805,53
0,-2.1868049703370175e-6,805,53
0,0.,805,53
0,2.346216873057696e-6,805,53
0,0.,805,53
0,-2.5165373251726077e-6,805,53
0,0.,805,53
0,2.698458632190181e-6,805,53
0,0.,805,53
0,-2.892713113134694e-6,805,53
0,0.,805,53
0,3.100075143592679e-6,805,53
0,0.,805,53
0,-3.3213632855167987e-6,805,53
0,0.,805,53
0,3.557442506380222e-6,805,53
0,0.,805,53
0,-3.809226490284645e-6,805,53
0,0.,805,53
0,4.077680043630358e-6,805,53
0,0.,805,53
0,-4.3638215979567685e-6,805,53
0,0.,805,53
0,4.668725812556117e-6,805,53
0,0.,805,53
0,-4.9935262794516e-6,805,53
0,0.,805,53
0,5.339418333313124e-6,805,53
0,0.,805,53
0,-5.707661968859328e-6,805,53
0,0.,805,53
0,6.099584868262787e-6,805,53
0,0.,805,53
0,-6.516585541036085e-6,805,53
0,0.,805,53
0,6.960136578829468e-6,805,53
0,0.,805,53
0,-7.431788027515422e-6,805,53
0,0.,805,53
0,7.93317087887161e-6,805,53
0,0.,805,53
0,-8.46600068410062e-6,805,53
0,0.,805,53
0,9.032081291342543e-6,805,53
0,0.,805,53
0,-9.63330870924413e-6,805,53
0,0.,805,53
0,0.000010271675098545826,805,53
0,0.,805,53
0,-0.000010949272893534877,805,53
0,0.,805,53
0,0.000011668299055088538,805,53
0,0.,805,53
0,-0.000012431059456896036,805,53
0,0.,805,53
0,0.000013239973406300647,805,53
0,0.,805,53
0,-0.000014097578301043905,805,53
0,0.,805,53
0,0.000015006534423022173,805,53
0,0.,805,53
0,-0.00001596962986998123,805,53
0,0.,805,53
0,0.00001698978562587678,805,53
0,0.,805,53
0,-0.00001807006077041763,805,53
0,0.,805,53
0,0.000019213657828083547,805,53
0,0.,805,53
0,-0.000020423928256670766,805,53
0,0.,805,53
0,0.000021704378075165353,805,53
0,0.,805,53
0,-0.0000230586736304769,805,53
0,0.,805,53
0,0.00002449064750228306,805,53
0,0.,805,53
0,-0.000026004304544938547,805,53
0,0.,805,53
0,0.000027603828065090238,805,53
0,0.,805,53
0,-0.000029293586133313474,805,53
0,0.,805,53
0,0.000031078138027742444,805,53
0,0.,805,53
0,-0.00003296224080731073,805,53
0,0.,805,53
0,0.00003495085601184591,805,53
0,0.,805,53
0,-0.00003704915648587493,805,53
0,0.,805,53
