"C","S","n"
0,-4.4852495193481445e-6,19
0,0,19
0,0.0000346451997756958,19
0,0,19
0,-0.000192984938621521,19
0,0,19
0,0.0008263438940048218,19
0,0,19
0,-0.002831980586051941,19
0,0,19
0,0.00798933207988739,19
0,0,19
0,-0.01894870400428772,19
0,0,19
0,0.038432031869888306,19
0,0,19
0,-0.06765702366828918,19
0,0,19
0,0.10485246777534485,19
0,0,19
0,0.10485246777534485,19
0,0,19
0,-0.06765702366828918,19
0,0,19
0,0.038432031869888306,19
0,0,19
0,-0.01894870400428772,19
0,0,19
0,0.00798933207988739,19
0,0,19
0,-0.002831980586051941,19
0,0,19
0,0.0008263438940048218,19
0,0,19
0,-0.000192984938621521,19
0,0,19
0,0.0000346451997756958,19
0,0,19
0,-4.4852495193481445e-6,19
