"C","S","n"
8.923665265552475e-21,0,932
0,0,932
-2.079214006873865e-20,0,932
0,0,932
4.493701272356003e-20,0,932
0,0,932
-8.766174174380995e-20,0,932
0,0,932
1.5959417876492004e-19,0,932
0,0,932
-2.761675935165849e-19,0,932
0,0,932
4.5940381455251025e-19,0,932
0,0,932
-7.402528380975294e-19,0,932
0,0,932
1.1616374574844912e-18,0,932
0,0,932
-1.7823851927546488e-18,0,932
0,0,932
2.6822821030561607e-18,0,932
0,0,932
-3.9684729689642855e-18,0,932
0,0,932
5.784354065596713e-18,0,932
0,0,932
-8.317810119794035e-18,0,932
0,0,932
1.1902935328689014e-17,0,932
0,0,932
-1.6815588730547233e-17,0,932
0,0,932
2.668258707657082e-17,0,932
0,0,932
-4.2692139322513306e-17,0,932
0,0,932
-9.107656388802839e-17,0,932
0,0,932
5.464593833281704e-16,0,932
0,0,932
-2.331560035533527e-14,0,932
0,0,932
-6.99468010660058e-14,0,932
0,0,932
1.4921984227414572e-12,0,932
0,0,932
-1.1937587381931658e-11,0,932
0,0,932
3.8200279622181304e-10,0,932
0,0,932
-3.8200279622181304e-10,0,932
0,0,932
3.667226843729405e-8,0,932
0,0,932
-6.112044739549009e-8,0,932
0,0,932
2.2633665676142422e-7,0,932
0,0,932
3.910180622126479e-6,0,932
0,0,932
5.867562949967048e-7,0,932
0,0,932
-0.00004713608903140195,0,932
0,0,932
0.0013644039712990043,0,932
0,0,932
0.015972288691536968,0,932
0,0,932
-0.3492874166525451,0,932
0,0,932
0.7178016635795422,0,932
0,0,932
-17.84249849469148,0,932
0,0,932
27.07137702642845,0,932
0,0,932
-577.5227098971402,0,932
0,0,932
105.00412907220732,0,932
0,0,932
-36961.45343341697,0,932
0,0,932
23520.92491217444,0,932
0,0,932
752669.5971895821,0,932
0,0,932
1.5053391943791641e6,0,932
0,0,932
-1.7203876507190447e7,0,932
0,0,932
2.0644651808628537e7,0,932
0,0,932
4.4041923858407545e8,0,932
0,0,932
-1.7616769543363018e9,0,932
0,0,932
-2.114012345203562e10,0,932
0,0,932
-4.228024690407124e10,0,932
0,0,932
3.156925102170653e12,0,932
0,0,932
4.5098930031009326e11,0,932
0,0,932
5.0510801634730445e13,0,932
0,0,932
-1.1545326087938388e14,0,932
0,0,932
6.927195652763032e14,0,932
0,0,932
0,0,932
0,0,932
2.2167026088841704e16,0,932
0,0,932
0,0,932
0,0,932
3.626958218440969e17,0,932
0,0,932
-3.4543238761944044e18,0,932
0,0,932
-4.5095235526661186e19,0,932
0,0,932
-2.3854180669216166e19,0,932
0,0,932
-1.4780187913865668e20,0,932
0,0,932
1.2880427596747583e20,0,932
0,0,932
8.338466757717836e21,0,932
0,0,932
2.5178786033445666e21,0,932
0,0,932
6.969946683717625e23,0,932
0,0,932
-4.0531396387057405e23,0,932
0,0,932
1.1816572695782256e25,0,932
0,0,932
-1.229936603147994e25,0,932
0,0,932
2.3132241252702238e26,0,932
0,0,932
-6.960746764947646e25,0,932
0,0,932
-3.546447790767983e27,0,932
0,0,932
3.1249600080284994e27,0,932
0,0,932
-7.216664229267467e28,0,932
0,0,932
-1.0644103704909007e29,0,932
0,0,932
-2.5286886798066478e29,0,932
0,0,932
-8.875798819883575e29,0,932
0,0,932
8.111302097731589e31,0,932
0,0,932
-1.1062048213412793e32,0,932
0,0,932
9.754360727784912e32,0,932
0,0,932
-1.6347393458505204e33,0,932
0,0,932
-1.0848346600453326e34,0,932
0,0,932
-1.0116249590606782e34,0,932
0,0,932
2.342710431508939e34,0,932
0,0,932
-9.7967890772192e34,0,932
0,0,932
2.5216083190059854e36,0,932
0,0,932
-8.723401752236922e36,0,932
0,0,932
4.2526583542154994e37,0,932
0,0,932
-3.009573604521738e38,0,932
0,0,932
1.1863826383042215e39,0,932
0,0,932
-3.210211844823187e39,0,932
0,0,932
1.842382450072438e40,0,932
0,0,932
-1.674893136429489e40,0,932
0,0,932
7.146210715432487e40,0,932
0,0,932
-8.218142322747359e41,0,932
0,0,932
1.686505728842067e43,0,932
0,0,932
-2.2867874289383957e42,0,932
0,0,932
1.6922226974144129e44,0,932
0,0,932
-3.5673883891438972e44,0,932
0,0,932
2.3416703272329172e45,0,932
0,0,932
-3.512505490849376e45,0,932
0,0,932
1.4050021963397503e46,0,932
0,0,932
-7.493345047145335e46,0,932
0,0,932
5.994676037716268e47,0,932
0,0,932
-7.493345047145335e47,0,932
0,0,932
7.793078849031149e48,0,932
0,0,932
-8.392546452802775e48,0,932
0,0,932
-9.591481660346029e48,0,932
0,0,932
-1.5346370656553646e50,0,932
0,0,932
3.0692741313107292e50,0,932
0,0,932
-1.2277096525242917e51,0,932
0,0,932
1.8415644787864374e52,0,932
0,0,932
-2.209877374543725e52,0,932
0,0,932
7.857341776155467e52,0,932
0,0,932
-3.1429367104621867e53,0,932
0,0,932
9.440852911883492e53,0,932
0,0,932
-6.287980907511337e54,0,932
0,0,932
1.5503336945882696e55,0,932
0,0,932
-5.604165948360253e55,0,932
0,0,932
2.33009677663832e56,0,932
0,0,932
-7.683893495981646e56,0,932
0,0,932
2.489160957954204e57,0,932
0,0,932
-7.809479723070871e57,0,932
0,0,932
1.1282524532865897e57,0,932
0,0,932
-8.443750742947119e58,0,932
0,0,932
2.738714084727804e59,0,932
0,0,932
-1.9071204087913474e59,0,932
0,0,932
2.1533734873091515e60,0,932
0,0,932
-3.1659605087533608e60,0,932
0,0,932
-1.0334605415135726e61,0,932
0,0,932
-4.5971375959699515e61,0,932
0,0,932
1.155658600604932e62,0,932
0,0,932
1.0976750533733064e62,0,932
0,0,932
-2.9893018175628417e62,0,932
0,0,932
-2.5799169033987304e63,0,932
0,0,932
6.201493683173853e64,0,932
0,0,932
1.7264342219858043e64,0,932
0,0,932
-3.0538418002414026e65,0,932
0,0,932
-1.1299817875111098e65,0,932
0,0,932
-3.794033647402256e65,0,932
0,0,932
-2.9767204923774758e66,0,932
0,0,932
-1.2574977989820052e67,0,932
0,0,932
2.927448671998606e67,0,932
0,0,932
3.4332080486728e68,0,932
0,0,932
-2.1561472392158671e68,0,932
0,0,932
4.22480410084129e68,0,932
0,0,932
-4.941392183384893e69,0,932
0,0,932
3.614222889155705e70,0,932
0,0,932
-7.101336997578759e70,0,932
0,0,932
5.025053385071308e71,0,932
0,0,932
-7.6031564615302355e71,0,932
0,0,932
5.7376896130878556e72,0,932
0,0,932
-6.4228343690565696e72,0,932
0,0,932
4.5638811480250907e73,0,932
0,0,932
-8.058544687266377e73,0,932
0,0,932
4.538535695254142e74,0,932
0,0,932
-5.744845884952167e74,0,932
0,0,932
3.62118277575854e75,0,932
0,0,932
-6.65523428981559e75,0,932
0,0,932
4.097849265374843e76,0,932
0,0,932
-7.157537461628746e76,0,932
0,0,932
2.993817323135103e77,0,932
0,0,932
-5.617140199923976e77,0,932
0,0,932
3.0837098580613394e78,0,932
0,0,932
-3.974961958105323e78,0,932
0,0,932
2.4061709385052482e79,0,932
0,0,932
-3.8954201928510235e79,0,932
0,0,932
1.6783964999219635e80,0,932
0,0,932
-2.8095499683793654e80,0,932
0,0,932
1.5252393963450072e81,0,932
0,0,932
-2.2215713120563077e81,0,932
0,0,932
1.2177882844092827e82,0,932
0,0,932
-1.874986928267888e82,0,932
0,0,932
9.115034052429533e82,0,932
0,0,932
-1.4937506366241776e83,0,932
0,0,932
6.931006601530429e83,0,932
0,0,932
-9.592139379694462e83,0,932
0,0,932
4.765703467756401e84,0,932
0,0,932
-6.8309226947674e84,0,932
0,0,932
3.0240988021746405e85,0,932
0,0,932
-5.118537690818746e85,0,932
0,0,932
2.19258738190066e86,0,932
0,0,932
-3.6263817823985453e86,0,932
0,0,932
1.4514989475411986e87,0,932
0,0,932
-2.1053221426414586e87,0,932
0,0,932
9.396408208000657e87,0,932
0,0,932
-1.5168439156861542e88,0,932
0,0,932
6.583402201827593e88,0,932
0,0,932
-8.34056978055795e88,0,932
0,0,932
4.216182247677337e89,0,932
0,0,932
-4.9380456854260244e89,0,932
0,0,932
2.002756688609427e90,0,932
0,0,932
-3.2020036403648583e90,0,932
0,0,932
1.3510550112037032e91,0,932
0,0,932
-2.037924263789328e91,0,932
0,0,932
7.569432979788931e91,0,932
0,0,932
-1.0676582081530508e92,0,932
0,0,932
4.7970204451425407e92,0,932
0,0,932
-6.171476988971756e92,0,932
0,0,932
2.2576179826301146e93,0,932
0,0,932
-3.9144856582613202e93,0,932
0,0,932
